carat,cut,color,clarity,depth,table,price,x,y,z
1,Ideal,E,I1,61.8,56,3520,6.38,6.43,3.96
2.18,Ideal,I,SI2,62.5,55,15706,8.31,8.34,5.2
0.53,Ideal,H,SI1,62.2,54,1205,5.18,5.23,3.24
0.3,Ideal,G,VS1,61.5,57,605,4.31,4.34,2.66
0.76,Premium,E,SI1,58.3,62,2937,6.12,5.95,3.52
0.7,Ideal,F,VS2,62.3,55,2622,5.71,5.65,3.54
0.83,Ideal,E,SI1,61.5,55,4024,6.05,6.08,3.73
0.5,Premium,G,VVS2,60.9,61,1935,5.13,5.11,3.12
0.31,Premium,I,SI1,61.4,61,523,4.39,4.34,2.68
0.3,Very Good,H,VVS1,62.6,56,638,4.25,4.28,2.67
0.42,Very Good,I,VS1,60.4,60,791,4.82,4.88,2.93
0.41,Very Good,E,SI2,63.5,55,818,4.73,4.69,2.99
0.91,Premium,D,SI2,58.3,60,3511,6.4,6.33,3.71
0.4,Premium,G,VVS1,62.3,58,1123,4.66,4.72,2.92
1.04,Ideal,F,SI2,62.1,57,4668,6.46,6.48,4.02
0.33,Ideal,H,SI2,61.3,55,433,4.48,4.49,2.75
0.81,Premium,G,SI2,59,57,2274,6.14,6.1,3.61
0.83,Ideal,F,SI1,62.1,55,3198,6.05,6,3.74
0.7,Ideal,F,VVS1,61,56,4951,5.72,5.75,3.5
0.38,Ideal,H,VS1,62.2,53.7,768,4.63,4.68,2.9
0.42,Ideal,F,SI1,62,57,992,4.83,4.81,2.99
0.24,Very Good,D,VVS2,62.9,58,552,3.96,3.99,2.5
0.53,Very Good,J,VS2,62.9,58,1114,5.16,5.18,3.25
0.37,Ideal,D,VS2,61.1,56,1050,4.64,4.66,2.84
0.78,Ideal,D,VS2,62.9,56,3736,5.85,5.88,3.69
1.04,Premium,E,SI2,59.2,58,4484,6.64,6.7,3.95
1.03,Premium,J,I1,62.8,55,2392,6.43,6.41,4.03
0.52,Ideal,G,VS1,61.4,56,1722,5.18,5.21,3.19
0.73,Very Good,G,VS1,61,60,2708,5.76,5.84,3.54
0.72,Ideal,H,SI1,58.9,56,2398,5.91,5.88,3.47
0.43,Ideal,G,VVS2,60.1,57,1056,4.88,4.91,2.94
1.52,Very Good,H,VS2,63.3,57,10618,7.33,7.32,4.64
1,Premium,F,VS1,59.2,60,7056,6.53,6.48,3.58
1.21,Ideal,G,VS1,62,55,9287,6.84,6.88,4.25
0.44,Very Good,F,SI2,61.9,59,711,4.85,4.9,3.02
0.4,Very Good,G,SI1,62.8,60,702,4.66,4.7,2.94
1.03,Premium,D,SI2,61.8,60,4560,6.45,6.42,3.98
0.59,Ideal,I,VS2,61.8,56,1371,5.39,5.42,3.34
1.01,Good,G,VVS2,63.2,59,7137,6.27,6.35,3.99
0.9,Ideal,G,SI2,62.4,57,2968,6.16,6.13,3.84
0.35,Very Good,D,SI1,60.1,61,644,4.56,4.59,2.75
1.64,Ideal,G,VS2,61.5,56,16297,7.59,7.62,4.68
2.24,Premium,H,SI2,61.4,57,16656,8.43,8.35,5.15
0.33,Very Good,E,VVS2,59.8,58.7,893,4.47,4.51,2.68
2.01,Premium,I,SI1,61.3,60,11646,8.09,8.05,4.95
0.73,Ideal,G,VS1,61.7,56,3525,5.76,5.79,3.56
1.2,Ideal,H,VS1,61.1,58,8039,6.84,6.88,4.19
0.9,Very Good,J,VS2,63.3,56,2686,6.13,6.1,3.87
0.38,Ideal,F,VVS1,61,57,1070,4.66,4.69,2.85
0.41,Ideal,D,SI2,62.7,55,683,4.72,4.75,2.97
0.92,Premium,H,SI1,62,60,3618,6.21,6.27,3.87
0.3,Ideal,F,VS2,62,54,776,4.34,4.31,2.68
0.26,Very Good,E,VS1,60.7,59,453,4.09,4.12,2.49
0.2,Very Good,E,VS2,63.4,59,367,3.74,3.71,2.36
0.3,Ideal,F,VVS1,62.1,55,1114,4.32,4.31,2.68
0.31,Ideal,D,VVS2,61.9,56,766,4.37,4.39,2.71
0.52,Ideal,D,VS2,61.3,56,1919,5.2,5.15,3.17
0.33,Premium,E,VS2,61.5,59,928,4.46,4.42,2.73
1.02,Premium,F,IF,62.5,58,11167,6.54,6.39,4.04
0.5,Premium,G,VS1,62.5,58,1746,5.11,5.07,3.18
0.3,Premium,H,VVS2,60.8,60,776,4.33,4.29,2.62
0.51,Ideal,E,VS2,61.8,57,1781,5.15,5.14,3.18
1.06,Ideal,I,VS2,61.4,55,5116,6.59,6.61,4.05
0.53,Very Good,E,SI1,61.6,58,1395,5.19,5.23,3.21
0.41,Ideal,G,VS2,62.7,56,827,4.72,4.76,2.97
1.31,Premium,H,SI2,60,57,6089,7.1,7.07,4.25
0.72,Good,J,SI1,60.1,64,1547,5.75,5.83,3.48
1.51,Very Good,I,SI2,62.9,58,7139,7.24,7.3,4.57
0.53,Ideal,E,VS2,62,56,1956,5.29,5.2,3.25
0.51,Ideal,E,VS1,62.7,56,1758,5.14,5.1,3.21
1,Very Good,F,VS2,63.8,56.9,6841,6.29,6.36,4.04
0.72,Ideal,H,VVS1,62.8,57,2907,5.68,5.72,3.58
1,Fair,E,SI2,65.8,58,2948,6.28,6.16,4.09
0.3,Premium,E,VVS2,60.1,59,1013,4.37,4.32,2.61
0.26,Good,H,VVS2,63.3,58,468,4.04,4.08,2.57
1.09,Very Good,G,VS1,62.5,59,6546,6.56,6.59,4.11
0.7,Ideal,E,VS2,62.1,57,2633,5.68,5.73,3.54
1.7,Premium,F,SI2,58.5,60,9330,7.87,7.8,4.58
0.71,Very Good,H,SI1,61.4,58,2076,5.72,5.78,3.53
1.51,Ideal,H,SI1,61.7,56,7780,7.25,7.18,4.45
0.7,Good,F,VS1,64,56,2401,5.6,5.65,3.6
1.01,Very Good,H,VS2,62.8,59,5559,6.33,6.38,3.99
0.3,Premium,D,SI1,59.7,59,709,4.37,4.34,2.6
0.7,Very Good,G,SI1,61.8,56,2106,5.7,5.76,3.54
1.11,Ideal,G,SI1,62.6,57,5061,6.64,6.59,4.14
1.01,Very Good,F,VS2,63.1,60,6271,6.39,6.29,4
0.9,Good,F,SI2,64.3,57,3267,6.06,6.16,3.93
0.7,Ideal,E,SI1,60.2,58,2617,5.75,5.78,3.47
0.7,Ideal,G,SI1,61.6,55,3145,5.71,5.76,3.53
1.14,Ideal,F,VVS2,61.4,57,9070,6.76,6.72,4.14
1.54,Premium,E,VS2,60.8,58,15323,7.44,7.39,4.51
0.72,Ideal,H,SI2,61.8,55,1814,5.79,5.76,3.57
0.91,Very Good,G,VS1,63.4,54,4209,6.24,6.07,3.9
0.33,Premium,F,VS2,62.1,59,854,4.44,4.39,2.74
0.56,Ideal,E,VS2,61.9,55,1915,5.34,5.29,3.29
1.02,Very Good,D,VS2,62.9,60,7257,6.37,6.42,4.02
0.57,Premium,D,VS1,60.6,59,2360,5.38,5.32,3.24
1.5,Premium,G,SI2,62.1,60,7098,7.34,7.28,4.54
0.33,Ideal,E,VS2,61.5,57,928,4.47,4.41,2.73
0.71,Ideal,E,SI2,61.9,56,2458,5.73,5.76,3.56
1,Premium,F,SI1,61.4,60,4586,6.38,6.35,3.91
0.38,Ideal,E,SI1,62.3,53,660,4.65,4.69,2.91
0.76,Premium,H,SI1,60.9,59,1915,5.91,5.86,3.58
0.73,Premium,F,SI1,59.3,61,2346,5.85,5.82,3.46
1.13,Ideal,I,SI2,61.7,57,4307,6.59,6.7,4.13
0.31,Premium,G,VVS1,60.7,58,816,4.37,4.4,2.66
0.5,Ideal,F,VS1,61.6,57,1695,5.07,5.09,3.13
1.5,Ideal,F,VS2,62.6,57,14759,7.27,7.34,4.57
0.52,Ideal,D,SI1,62.4,56,1720,5.17,5.12,3.21
0.54,Ideal,I,SI2,61.8,54,964,5.24,5.27,3.25
2.2,Ideal,G,SI2,62,57,18168,8.31,8.27,5.14
0.54,Ideal,G,VS1,61.8,55.3,1804,5.22,5.24,3.23
1.21,Premium,E,SI1,62.9,58,6440,6.79,6.78,4.27
0.9,Ideal,F,SI1,61.3,56,4724,6.21,6.23,3.81
0.7,Very Good,E,SI2,61.5,60,2263,5.65,5.7,3.49
0.9,Ideal,G,SI1,61.6,57,3931,6.24,6.17,3.82
0.32,Ideal,E,VVS1,61.6,56,954,4.41,4.42,2.72
0.31,Ideal,F,VVS2,61.6,55,917,4.35,4.38,2.69
2.01,Premium,J,SI1,61.7,60,9793,8.12,8.09,5
1.22,Ideal,E,SI2,62.8,54,4974,6.78,6.75,4.25
1.33,Fair,E,SI2,65,57,4916,6.93,6.89,4.49
